Rank,Name,Platform,Year,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales
9627,Baroque,7,2007,4,Rising Star Games,0.05,0.04,0.02,0.01
9628,Left Brain Right Brain 2,4,2008,6,Majesco Entertainment,0.12,0,0,0.01
9629,Dynasty Warriors: Gundam Reborn,23,2013,9,Namco Bandai Games,0,0,0.13,0
9630,Kidz Sports: Crazy Golf,1,2008,1,Data Design Interactive,0.11,0,0,0.01
9631,Little Battlers eXperience: Wars,10,2013,12,Level 5,0,0,0.13,0
9632,Victorious: Time to Shine,5,2011,9,D3Publisher,0.12,0,0,0.01
9633,NBA Ballers: Phenom,14,2006,1,Midway Games,0.09,0.03,0,0
9634,Aikatsu! 365 Idol Days,10,2014,11,Namco Bandai Games,0,0,0.13,0
9635,Petz Puppyz & Kittenz,4,2011,6,Ubisoft,0.12,0,0,0.01
9636,Crash Tag Team Racing,14,2005,3,Vivendi Games,0.09,0.03,0,0
9637,Freedom Fighters,19,2003,7,Electronic Arts,0.1,0.03,0,0
9638,The Stronghold Collection,15,2009,12,Take-Two Interactive,0.03,0.08,0,0.02
9639,Operation Abyss: New Tokyo Legacy,23,2014,4,Nippon Ichi Software,0.04,0.01,0.06,0.02
9640,Transformer: Rise of the Dark Spark,6,2014,9,Activision,0.04,0.05,0.01,0.02
9641,Mega Man X Collection,19,2006,6,Capcom,0.1,0.03,0,0
9642,Detana TwinBee Yahho! Deluxe Pack,24,1995,7,Konami Digital Entertainment,0,0,0.13,0
9643,Dragon Ball: Origins,4,2008,9,Atari,0.09,0.03,0,0.01
9644,Last Ranker,17,2010,4,Capcom,0,0,0.13,0
9645,Quantum Redshift,14,2002,3,Microsoft Game Studios,0.09,0.03,0,0
9646,Smash Court Tennis Pro Tournament 2,7,2004,1,Sony Computer Entertainment,0.06,0.05,0,0.02
9647,Eat Lead: The Return of Matt Hazard,5,2009,7,D3Publisher,0.1,0.01,0,0.01
9649,Legends of Wrestling II,14,2002,10,Acclaim Entertainment,0.09,0.03,0,0
9650,Power Pro Kun Pocket 13,4,2010,1,Konami Digital Entertainment,0,0,0.13,0
9651,Armed and Dangerous,14,2003,7,LucasArts,0.09,0.03,0,0
9652,Jurassic: The Hunted,5,2009,7,Activision,0.12,0,0,0.01
9653,Adventures to Go!,17,2008,4,Zushi Games,0.1,0,0.01,0.01
9654,Conduit 2,1,2011,7,Sega,0.07,0.04,0,0.01
9655,Supremacy MMA,6,2011,10,505 Games,0.06,0.04,0,0.02
9656,World Soccer Winning Eleven 2002,13,2002,1,Konami Digital Entertainment,0,0,0.12,0.01
9657,Geometry Wars: Galaxies,1,2007,7,Vivendi Games,0.11,0,0,0.01
9658,Actua Tennis,13,1997,1,Gremlin Interactive Ltd,0.07,0.05,0,0.01
9659,Horse Life,4,2007,8,Game Life,0.09,0.02,0,0.01
9660,Monster Truck Madness,9,2003,3,THQ,0.09,0.03,0,0
9661,Sonic Jam,24,1997,2,Sega,0,0,0.12,0
9662,Puella Magi Madoka Magica Portable,17,2012,4,Namco Bandai Games,0,0,0.12,0
9663,Ninja Reflex,1,2008,9,Electronic Arts,0.11,0.01,0,0.01
9664,Peter Jacobsen's Golden Tee Golf,13,2000,1,Infogrames,0.07,0.05,0,0.01
9665,Calling,1,2009,11,Konami Digital Entertainment,0.07,0.04,0,0.01
9666,Marvel Avengers: Battle for Earth,20,2012,9,Ubisoft,0.07,0.04,0,0.01
9667,Disney's Atlantis: The Lost Empire,9,2001,2,THQ,0.09,0.03,0,0
9668,Nippon Daihyou Team no Kantoku ni Narou! Sekaihatsu Soccer RPG,24,1998,1,Sega,0,0,0.12,0
9670,Where the Wild Things Are,1,2009,2,Warner Bros. Interactive Entertainment,0.11,0,0,0.01
9671,High Velocity: Mountain Racing Challenge,24,1995,3,Atlus,0,0,0.12,0
9672,NHL 2K7,6,2006,1,Take-Two Interactive,0.11,0,0,0.01
9673,Resident Evil,6,2006,9,Capcom,0,0,0.12,0
9674,Capcom vs. SNK 2: Millionaire Fighting 2001,22,2001,10,Capcom,0,0,0.12,0
9675,Criticom,13,1996,10,Vic Tokai,0.07,0.05,0,0.01
9676,SCORE International Baja 1000: The Official Game,5,2008,3,Activision,0.11,0.01,0,0.01
9677,Disney Sing It: Party Hits,6,2010,6,Disney Interactive Studios,0.1,0.01,0,0.01
9678,Sleeping Dogs,15,2012,9,Square Enix,0.06,0.05,0,0.02
9679,Mega Man X: Command Mission,19,2004,4,Capcom,0.1,0.02,0,0
9680,Diner Dash: Sizzle & Serve,17,2007,5,Eidos Interactive,0.11,0,0,0.01
9681,After Hours Athletes,6,2011,1,Sony Computer Entertainment,0,0.1,0,0.03
9683,Worms 3D,7,2003,12,Sega,0.06,0.05,0,0.02
9684,Clock Tower: The First Fear,13,1997,11,Human Entertainment,0,0,0.12,0.01
9685,Kidou Senshi Gundam Seed Battle Destiny,23,2012,9,Namco Bandai Games,0,0,0.12,0
9686,Godzilla Unleashed: Double Smash,4,2007,9,Atari,0.11,0,0,0.01
9687,Star Trek: Conquest,1,2007,12,Bethesda Softworks,0.11,0.01,0,0.01
9688,"Kilari: Na-san, Mon Meilleur Ami",4,2006,8,Konami Digital Entertainment,0,0,0.12,0
9689,Strikers 1945,13,1998,7,Midas Interactive Entertainment,0.07,0.05,0,0.01
9690,Ochaken no Heya DS,4,2006,8,MTO,0,0,0.12,0
9691,Obscure: The Aftermath,1,2008,9,Playlogic Game Factory,0.12,0,0,0.01
9692,Galidor: Defenders of the Outer Dimension,9,2002,9,Electronic Arts,0.09,0.03,0,0
9693,Tom Clancy's Splinter Cell Trilogy,6,2011,9,Ubisoft,0,0.1,0,0.03
9695,Fire ProWrestling S: 6Men Scramble,24,1996,10,Human Entertainment,0,0,0.12,0
9696,Blackwater,5,2011,7,505 Games,0.09,0.02,0,0.01
9697,Pryzm Chapter One: The Dark Unicorn,7,2002,11,TDK Mediactive,0.06,0.05,0,0.02
9698,Gundam Battle Royale,17,2006,9,Namco Bandai Games,0,0,0.12,0
9699,Solitaire & Mahjong,1,2009,5,Crave Entertainment,0.11,0,0,0.01
9700,Zen-Nippon Pro Wrestling: Ouja no Kon,13,1999,10,Human Entertainment,0,0,0.12,0.01
9701,NASCAR 2005: Chase for the Cup,19,2004,3,Electronic Arts,0.1,0.02,0,0
9703,"Hisshou Pachinko*Pachi-Slot Kouryaku Series Vol. 12: CR Shinseiki Evangelion - Shito, Futatabi",7,2008,6,D3Publisher,0,0,0.12,0
9704,Guilty Gear X,7,2001,10,Sammy Corporation,0.06,0.05,0,0.02
9705,Deadliest Catch: Sea of Chaos,1,2010,1,Crave Entertainment,0.12,0,0,0.01
9706,One Piece: Pirate Warriors 2,23,2013,9,Namco Bandai Games,0,0,0.12,0
9707,NHL 2002,9,2002,1,Electronic Arts,0.09,0.03,0,0
9708,Disney's PK: Out of the Shadows,7,2002,2,Ubisoft,0.06,0.05,0,0.02
9709,Mugen no Frontier: Super Robot Taisen OG Saga EXCEED,4,2010,4,Namco Bandai Games,0,0,0.12,0
9710,Karaoke Revolution,5,2009,6,Konami Digital Entertainment,0.12,0,0,0.01
9711,Echo Night,13,1998,11,From Software,0.03,0.02,0.07,0.01
9712,Are You Smarter than a 5th Grader? Game Time,5,2009,5,THQ,0.12,0,0,0.01
9714,Wild ARMs 5 (jp sales),7,2006,4,505 Games,0,0,0.12,0
9715,Tom Clancy's Splinter Cell: Blacklist,20,2013,9,Ubisoft,0.05,0.07,0,0.01
9716,Gladiator Begins,17,2010,9,PQube,0.05,0.01,0.05,0.01
9717,Colony Wars III: Red Sun,13,2000,8,Psygnosis,0.07,0.05,0,0.01
9718,Magic: The Gathering - Battlemage,13,1997,12,Acclaim Entertainment,0.07,0.05,0,0.01
9719,The King of Fighters '94,27,1994,10,SNK,0,0,0.12,0
9720,DS Yamamura Misa Suspense: Maiko Kogiku - Kisha Katherine - Sougiya Isa Akashi - Koto ni Maru Hana Sanrin: Kyoto Satujin Jinken File,4,2008,11,Tecmo Koei,0,0,0.12,0
9721,Puzzle Quest 2,4,2010,5,D3Publisher,0.11,0,0,0.01
9722,All Kamen Rider: Rider Generation,4,2011,9,Namco Bandai Games,0,0,0.12,0
9723,The King of Fighters '98 Ultimate Match,7,2008,10,Ignition Entertainment,0.04,0.03,0.03,0.01
9724,Onechanbara: Bikini Zombie Slayers,1,2008,9,D3Publisher,0.11,0,0,0.01
9725,Puzzle Quest: Challenge of the Warlords,7,2007,5,D3Publisher,0.06,0.05,0,0.02
9726,Angry Birds Star Wars,23,2013,12,Activision,0.05,0.04,0,0.03
9727,Guardian's Crusade,13,1998,4,Activision,0.07,0.05,0,0.01
9728,Undead Knights,17,2009,9,Ubisoft Annecy,0.05,0.01,0.06,0.01
9729,Final Fantasy XIV: Heavensward,11,2015,9,Square Enix,0,0.05,0.06,0.01
9730,Lemony Snicket's A Series of Unfortunate Events,14,2004,2,Activision,0.09,0.03,0,0
9731,MotoGP 3 - Official Game of MotoGP,7,2003,3,Namco Bandai Games,0.06,0.05,0,0.02
9732,Makai Kingdom: Chronicles of the Sacred Tome,7,2005,4,Tecmo Koei,0.06,0.05,0,0.02
9733,The Ant Bully,19,2006,2,Midway Games,0.09,0.02,0,0
9734,M&M's Kart Racing,4,2008,3,Zoo Digital Publishing,0.11,0,0,0.01
9735,Bomberman Party Edition,13,1998,5,Virgin Interactive,0.07,0.05,0,0.01
9736,Gotouchi Tetsudou: Gotouchi Chara to Nihon Zenkoku no Tabi,10,2014,6,Namco Bandai Games,0,0,0.12,0
9737,Dragon Ball Z: Battle of Z,23,2014,10,Namco Bandai Games,0,0.04,0.06,0.02
9738,Eyeshield 21: Max Devil Power,4,2006,4,Nintendo,0,0,0.12,0
9739,Summon Night 3,17,2012,4,Namco Bandai Games,0,0,0.12,0
9740,O.D.T.: Escape... Or Die Trying,13,1997,11,Psygnosis,0.07,0.05,0,0.01
9741,Madden NFL 06,4,2005,1,Electronic Arts,0.11,0,0,0.01
9742,Escape The Museum,1,2009,11,Majesco Entertainment,0.11,0.01,0,0.01
9743,Fuse (Insomniac),6,2013,7,Electronic Arts,0.06,0.04,0,0.02
9745,Lunar: Dragon Song,4,2005,4,Rising Star Games,0.11,0,0,0.01
9746,Break 'Em All,4,2005,5,D3Publisher,0.11,0,0,0.01
9747,WWE SmackDown vs Raw 2008,4,2007,10,THQ,0.11,0.01,0,0.01
9748,MotoGP 14,6,2014,3,Milestone S.r.l.,0.04,0.06,0,0.02
9749,Cars 2,17,2011,3,Disney Interactive Studios,0.1,0.01,0,0.01
9750,Major League Baseball 2K8 Fantasy All-Stars,4,2008,1,Take-Two Interactive,0.11,0,0,0.01
9752,Mobile Suit Gundam Seed: Rengou vs. Z.A.F.T. Portable,17,2007,7,Namco Bandai Games,0,0,0.12,0
9753,San Goku Shi V,24,1996,12,Tecmo Koei,0,0,0.12,0
9754,Puzzle Kingdoms,1,2009,5,Zoo Digital Publishing,0.11,0,0,0.01
9755,The Lord of the Rings: Aragorn's Quest,4,2010,9,Warner Bros. Interactive Entertainment,0.1,0.02,0,0.01
9756,WRC 5: FIA World Rally Championship,6,2015,1,Bigben Interactive,0.02,0.09,0,0.02
9757,Red Faction II,14,2003,7,THQ,0.09,0.03,0,0
9758,Daikaijyuu Monogatari II,8,1996,4,Hudson Soft,0,0,0.12,0
9759,Rock Band Track Pack Volume 2,7,2008,6,MTV Games,0.06,0.05,0,0.02
9760,Voodoo Vince,14,2003,2,Microsoft Game Studios,0.09,0.03,0,0
9761,Bodycount,6,2011,7,Codemasters,0.05,0.06,0,0.02
9762,Gundam Memories: Tatakai no Kioku,17,2011,9,Namco Bandai Games,0,0,0.12,0
9763,Megamind: Ultimate Showdown,5,2010,9,THQ,0.07,0.04,0,0.01
9764,Kaijuu Busters,4,2009,9,Namco Bandai Games,0,0,0.12,0
9765,Neopets Petpet Adventures: The Wand of Wishing,17,2006,11,Sony Computer Entertainment,0.11,0,0,0.01
9766,Ferrari Challenge Trofeo Pirelli,7,2008,3,System 3 Arcade Software,0.06,0.05,0,0.02
9767,Virtua Fighter CG Portrait Series Vol.4: Pai Chan,24,1995,6,Sega,0,0,0.12,0
9768,Chase: Hollywood Stunt Driver,14,2002,3,BAM! Entertainment,0.09,0.03,0,0
9769,The X Files: Resist or Serve,7,2004,11,Vivendi Games,0.06,0.05,0,0.02
9770,Mobile Suit Gundam Side Story: Missing Link,6,2014,9,Namco Bandai Games,0,0,0.12,0
9772,Curious George,7,2006,9,Namco Bandai Games,0.06,0.05,0,0.02
9773,Crush3D,10,2012,2,Sega,0.07,0.04,0,0.01
9774,Zathura,7,2005,11,Take-Two Interactive,0.06,0.05,0,0.02
9775,Lovely Lisa,4,2007,8,DHM Interactive,0.11,0,0,0.01
9776,Medarot DS: Kabuto / Kuwagata Ver.,4,2010,4,Rocket Company,0,0,0.12,0
9777,Mountain Sports,1,2009,1,Activision,0.11,0,0,0.01
9778,Tenchu: Shadow Assassins,17,2009,9,Ubisoft,0.03,0.03,0.05,0.01
9779,NPPL: Championship Paintball 2009,5,2008,7,Activision Value,0.1,0.01,0,0.01
9780,Lost Planet 3,5,2013,7,Capcom,0.07,0.04,0.01,0.01
9781,Making History: The Great War,17,2010,12,Namco Bandai Games,0,0,0.12,0
9782,Shin Megami Tensei: Devil Survivor 2,10,2015,4,Atlus,0,0.03,0.09,0
9783,The God of War Trilogy,6,2010,9,Sony Computer Entertainment,0,0.07,0.03,0.02
9784,Dance Paradise,5,2010,6,Mindscape,0.1,0.01,0,0.01
9785,Backyard Baseball '10,4,2009,1,Atari,0.11,0,0,0.01
9786,Blazblue: Continuum Shift Extend,23,2011,10,PQube,0.03,0.05,0.02,0.02
9787,Cel Damage,14,2001,3,Electronic Arts,0.09,0.03,0,0
9788,Go! Sudoku,17,2005,5,Sony Computer Entertainment,0.11,0,0,0.01
9789,Alice: Madness Returns,15,2011,11,Electronic Arts,0,0.1,0,0.02
9790,SSX 3,9,2003,1,Electronic Arts,0.09,0.03,0,0
9791,My Chinese Coach,4,2008,6,Ubisoft,0.11,0.01,0,0.01
9792,DiRT 2,4,2009,3,Codemasters,0.06,0.04,0,0.01
9793,Yamakawa Shuppansha Kanshuu: Shousetsu Nihonshi B,4,2007,6,Namco Bandai Games,0,0,0.12,0
9794,The King of Fighters Collection: The Orochi Saga,1,2008,10,Ignition Entertainment,0.11,0,0,0.01
9795,Atelier Annie: Alchemists of Sera Island,4,2009,4,Gust,0.08,0,0.03,0.01
9796,Breakdown,14,2004,11,Electronic Arts,0.09,0.03,0,0
9797,Rush,17,2006,3,Midway Games,0.11,0,0,0.01
9798,Ecco the Dolphin,21,1992,11,Sega,0,0,0.12,0
9799,The Legend of Heroes: Trails of Cold Steel II,6,2014,4,Nippon Ichi Software,0.01,0,0.11,0
9800,Looney Tunes: Sheep Raider,13,2001,2,Infogrames,0.07,0.05,0,0.01
9801,Yard Sale Hidden Treasures: Sunnyville,4,2010,5,Konami Digital Entertainment,0.11,0,0,0.01
9802,Harvest Moon 2 GBC,3,1999,8,Ubisoft,0,0,0.12,0
9803,Killer is Dead,5,2013,9,Deep Silver,0.08,0.02,0.01,0.01
9804,Lost in Shadow,1,2010,2,Konami Digital Entertainment,0.1,0,0.01,0.01
9805,Cory in the House,4,2007,9,Disney Interactive Studios,0.11,0,0,0.01
9806,X2: Wolverine's Revenge,19,2003,2,Activision,0.09,0.02,0,0
9807,McDROID,1,2011,12,Namco Bandai Games,0,0,0.12,0
9808,Gallop Racer 2000,13,2000,1,Tecmo Koei,0,0,0.11,0.01
9809,Showdown: Legends of Wrestling,14,2004,10,Acclaim Entertainment,0.09,0.03,0,0
9810,Macross Triangle Frontier,17,2011,9,Namco Bandai Games,0,0,0.12,0
9811,Chessmaster: The Art of Learning,17,2008,6,Ubisoft,0.11,0,0,0.01
9812,Petz Fantasy: Moonlight Magic,4,2010,8,Ubisoft,0.11,0,0,0.01
9814,My Farm Around the World,4,2008,8,Atari,0.11,0,0,0.01
9815,Fat Princess: Fistful of Cake,17,2010,9,Sony Computer Entertainment,0.08,0.02,0,0.02
9816,Zubo,4,2008,6,Electronic Arts,0.09,0.03,0,0.01
9818,NFL QB Club 2001,12,2000,1,Acclaim Entertainment,0.11,0.01,0,0
9819,Earthworm Jim 3D,12,1999,2,Interplay,0.1,0.02,0,0
9820,Rocket: Robot on Wheels,12,1999,2,Ubisoft,0.1,0.02,0,0
9821,Densha De Go! 64,12,1999,8,Taito,0,0,0.05,0.07
9824,Conception II: Children of the Seven Stars,10,2013,4,Screenlife,0.09,0,0.03,0.01
9825,Animal Genius,4,2007,5,Ubisoft,0.11,0,0,0.01
9826,Sega Soccer Slam,7,2002,1,Sega,0.06,0.05,0,0.02
9827,Zenses: Rainforest,4,2008,5,Game Factory,0.1,0.01,0,0.01
9828,Dora the Explorer: Dora Saves the Mermaids,7,2008,2,Take-Two Interactive,0.06,0.05,0,0.02
9829,Grand Theft Auto: San Andreas,5,2008,9,Take-Two Interactive,0.08,0.03,0,0.01
9830,Phantasy Star Universe,5,2006,4,Sega,0.09,0.02,0,0.01
9831,Skate City Heroes,1,2008,1,Zoo Digital Publishing,0.11,0,0,0.01
9832,NASCAR Unleashed,5,2011,3,Activision,0.11,0,0,0.01
9833,2 Games in 1 Double Pack: Hot Wheels Velocity X / Hot Wheels World Race,9,2005,3,THQ,0.09,0.03,0,0
9834,College Hoops 2K6,5,2006,1,Take-Two Interactive,0.11,0,0,0.01
9835,Mytran Wars,17,2009,12,Deep Silver,0.08,0.02,0,0.02
9836,MX vs. ATV Untamed,4,2007,3,THQ,0.11,0,0,0.01
9837,Prince of Persia: Rival Swords,17,2007,9,Ubisoft,0.08,0.02,0,0.02
9838,Mahou Shoujo Lyrical Nanoha A's Portable: The Gears of Destiny,17,2011,10,Namco Bandai Games,0,0,0.12,0
9839,Gungnir: Mayari no Gunshin to Eiyuu Sensou,17,2011,4,Atlus,0.07,0,0.04,0.01
9840,Dodge Racing: Charger vs Challenger,1,2009,3,Zushi Games,0.11,0,0,0.01
9841,Fate/Extra CCC,17,2013,9,Marvelous Entertainment,0,0,0.12,0
9843,MTV Sports: Pure Ride,13,2000,1,THQ,0.07,0.05,0,0.01
9844,Sonic Adventure 2,22,2001,2,Sega,0,0,0.12,0
9845,Burning Road,13,1996,3,FunSoft,0.07,0.05,0,0.01
9846,Slayers,8,1994,4,Banpresto,0,0,0.12,0
9847,Super Robot Wars OG Saga: Masou Kishin - The Lord of Elemental,4,2010,12,Namco Bandai Games,0,0,0.12,0
9848,IndyCar Series,7,2003,3,Codemasters,0.06,0.05,0,0.02
9849,Space Chimps,7,2008,2,Brash Entertainment,0.06,0.05,0,0.02
9850,Crash Superpack: Crash Bandicoot 2: N-Tranced / Crash Nitro Kart,9,2005,6,Vivendi Games,0.09,0.03,0,0
9851,Famicom Mini: TwinBee,9,2004,7,Konami Digital Entertainment,0,0,0.12,0
9852,4 Game Fun Pack: Monopoly / Boggle / Yahtzee / Battleship,4,2005,6,Atari,0.11,0,0,0.01
9853,Gladiator: Sword of Vengeance,7,2003,9,Acclaim Entertainment,0.06,0.05,0,0.02
9854,nail'd,6,2010,3,Deep Silver,0.08,0.02,0,0.02
9855,PixelJunk Monsters Deluxe,17,2010,12,Sony Computer Entertainment,0.11,0,0,0.01
9856,Tom Clancy's EndWar,17,2008,12,Ubisoft,0.1,0.01,0,0.01
9857,Ultimate Card Games,9,2003,6,Telegames,0.09,0.03,0,0
9858,Jikkyou Powerful Pro Yakyuu 8 Ketteiban,7,2001,1,Konami Digital Entertainment,0,0,0.12,0
9859,Rubik's World,4,2008,5,Game Factory,0.1,0.01,0,0.01
9860,Lost Magic,4,2006,4,Ubisoft,0.09,0,0.02,0.01
9861,Wallace & Gromit: Curse of the Were-Rabbit,7,2005,11,Konami Digital Entertainment,0.06,0.05,0,0.02
9862,DreamWorks Super Star Kartz,10,2011,3,Activision,0.08,0.03,0,0.01
9863,Minute to Win It,4,2010,6,Zoo Games,0.11,0,0,0.01
9864,The Bible Game,9,2005,6,Crave Entertainment,0.09,0.03,0,0
9865,NFL Head Coach,14,2006,1,Electronic Arts,0.09,0.03,0,0
9866,Pinball Hall of Fame: The Williams Collection,5,2009,6,Crave Entertainment,0.11,0,0,0.01
9867,Medarot 4: Kabuto / Kuwagata Version,3,2001,4,Imagineer,0,0,0.12,0
9868,Backyard Sports Football: Rookie Rush,5,2010,1,Atari,0.11,0,0,0.01
9869,Sacred 3,6,2014,4,Deep Silver,0.03,0.05,0.02,0.02
9871,Vacation Isle: Beach Party,1,2010,6,Warner Bros. Interactive Entertainment,0.09,0.02,0,0.01
9872,Fit in Six,1,2011,1,Ubisoft,0.11,0,0,0.01
9873,Mahou Shoujo Lyrical Nanoha A's Portable: The Battle of Aces,17,2010,7,Namco Bandai Games,0,0,0.12,0
9874,"Ed, Edd n Eddy: The Mis-Edventures",9,2005,2,Midway Games,0.08,0.03,0,0
9875,Onimusha: Blade Warriors,7,2003,10,Capcom,0.06,0.05,0,0.02
9876,Tecmo Bowl: Kickoff,4,2008,1,Tecmo Koei,0.11,0,0,0.01
9877,Disney's Extreme Skate Adventure,19,2003,1,Activision,0.09,0.02,0,0
9878,Akuji the Heartless,13,1998,2,Eidos Interactive,0.07,0.04,0,0.01
9879,NBA 2K2,19,2002,1,Sega,0.09,0.02,0,0
9881,Monster Jam: Path of Destruction,5,2010,3,Activision,0.11,0,0,0.01
9882,Everybody Dance,6,2011,6,Sony Computer Entertainment,0.11,0,0,0.01
9883,Psychonauts,14,2005,2,THQ,0.09,0.03,0,0
9884,Power Gig: Rise of the SixString,5,2010,6,Unknown,0.11,0,0,0.01
9885,Deus Ex: Human Revolution,20,2013,7,Square Enix,0.06,0.05,0,0.01
9886,Jeremy McGrath Supercross World,19,2002,3,Acclaim Entertainment,0.09,0.02,0,0
9887,Uta no * Prince-Sama: All Star,17,2013,9,Broccoli,0,0,0.12,0
9888,HardBall 5,13,1996,1,SPS,0.07,0.04,0,0.01
9889,Airborne Troops: Countdown to D-Day,7,2005,7,Playlogic Game Factory,0.06,0.05,0,0.02
9890,MLB Inside Pitch 2003,14,2003,1,Microsoft Game Studios,0.09,0.03,0,0
9891,ArmA III,15,2013,7,Bohemia Interactive,0,0.1,0,0.02
9892,The Walking Dead: Season Two,5,2014,11,Telltale Games,0.04,0.07,0,0.01
9893,Marvel Trading Card Game,4,2007,6,Konami Digital Entertainment,0.11,0,0,0.01
9894,One Piece: Super Grand Battle! X,10,2014,10,Namco Bandai Games,0,0,0.12,0
9895,The Penguins of Madagascar: Dr. Blowhole Returns - Again!,4,2011,9,THQ,0.07,0.03,0,0.01
9896,Self-Defense Training Camp,5,2011,1,Ubisoft,0.08,0.03,0,0.01
9897,Battles of Prince of Persia,4,2005,12,Ubisoft,0.1,0.01,0,0.01
9898,Deca Sports Extreme,10,2011,1,Hudson Soft,0.08,0,0.03,0.01
9899,Cruis'n,1,2007,3,Midway Games,0.1,0.01,0,0.01
9901,Battle Arena Toshinden Remix,24,1994,10,Sega,0,0,0.12,0
9903,Legends of Wrestling II,19,2002,10,Acclaim Entertainment,0.09,0.02,0,0
9904,Tropico 5,15,2014,8,Kalypso Media,0.02,0.08,0,0.01
9905,A.C.E.: Another Century's Episode Portable,17,2011,8,Namco Bandai Games,0,0,0.12,0
9907,Rodea the Sky Soldier,20,2015,9,Nippon Ichi Software,0.08,0.02,0.01,0.01
9908,Peggle: Dual Shot,4,2009,5,PopCap Games,0.11,0,0,0.01
9909,Jikkyou Powerful Pro Yakyuu 9,19,2002,1,Konami Digital Entertainment,0,0,0.11,0
9910,Sniper Elite,1,2010,7,Reef Entertainment,0.08,0.03,0,0.01
9912,Jikkyou Powerful Pro Yakyuu 2014,23,2014,1,Konami Digital Entertainment,0,0,0.12,0
9913,Barbie as The Island Princess,7,2007,11,Activision,0.06,0.04,0,0.02
9914,Crime Killer,13,1998,3,Interplay,0.07,0.04,0,0.01
9915,NPPL: Championship Paintball 2009,1,2008,7,Activision Value,0.11,0,0,0.01
9916,Backyard Wrestling 2: There Goes the Neighborhood,14,2004,10,Eidos Interactive,0.09,0.03,0,0
9917,Dementium II,4,2010,7,SouthPeak Games,0.09,0.02,0,0.01
9918,Don Bradman Cricket 14,11,2015,1,Tru Blu Entertainment,0.01,0.09,0,0.02
9919,USA Today Crossword Challenge,4,2008,5,Destineer,0.11,0,0,0.01
9920,MegaTagmension Blanc + Neptune VS Zombies,23,2015,9,Idea Factory International,0.02,0.03,0.05,0.01
9921,Bishoujo Senshi Sailormoon S: Juugai Rantou!? Shuyaku Soudatsusen,8,1994,10,Angel Studios,0,0,0.12,0
9922,SD Gundam G Generation-F.I.F,13,2001,12,Namco Bandai Games,0,0,0.11,0.01
9923,Jaws: Ultimate Predator,10,2011,9,Majesco Entertainment,0.11,0,0,0.01
9925,Raiden IV,5,2008,7,Moss,0.1,0,0.01,0.01
9926,Deception IV: Blood Ties,6,2014,9,Tecmo Koei,0.02,0.02,0.06,0.01
9927,The Walking Dead: Survival Instinct,20,2013,7,Activision,0.08,0.03,0,0.01
9928,Rock Band: Metal Track Pack,6,2009,6,MTV Games,0.11,0,0,0.01
9929,Charm Girls Club: My Perfect Prom,4,2009,8,Electronic Arts,0.11,0,0,0.01
9930,DreamWorks Super Star Kartz,6,2011,3,Activision,0.06,0.03,0,0.02
9931,Harukanaru Augusta 2: Masters,8,1993,1,T&E Soft,0,0,0.12,0
9932,Castlevania: Curse of Darkness,14,2005,9,Konami Digital Entertainment,0.09,0.03,0,0
9933,Spider-Man: Edge of Time,10,2011,9,Activision,0.08,0.03,0,0.01
9934,Mobil 1 Rally Championship,13,2000,3,Electronic Arts,0.07,0.04,0,0.01
9935,King of Colosseum (Red): Shin Nippon x Zen Nippon x Pancrase Disc,7,2002,10,Spike,0,0,0.12,0
9936,Turok: Evolution,9,2002,7,Acclaim Entertainment,0.08,0.03,0,0
9937,The Clique: Diss and Make Up,4,2009,11,Warner Bros. Interactive Entertainment,0.11,0,0,0.01
9938,Love Live! School Idol Paradise,23,2014,6,Kadokawa Games,0,0,0.12,0
9939,Rugrats: Totally Angelica,13,2001,11,THQ,0.06,0.04,0,0.01
9940,Nightshade,7,2003,9,Sega,0.06,0.04,0,0.01
9941,NFL Tour,6,2008,1,Electronic Arts,0.1,0.01,0,0.01
9942,Ridge Racer Unbounded,5,2012,3,Namco Bandai Games,0.05,0.05,0,0.01
9943,CSI: Crime Scene Investigation,14,2004,11,Ubisoft,0.09,0.03,0,0
9944,The Lord of the Rings: Aragorn's Quest,17,2010,9,Warner Bros. Interactive Entertainment,0.07,0.02,0,0.02
9945,Yogi Bear: The Video Game,1,2010,9,D3Publisher,0.06,0.05,0,0.01
9946,Makai Shin Trillion,23,2014,4,Idea Factory,0.02,0.02,0.06,0.01
9947,Buffy the Vampire Slayer: Chaos Bleeds,14,2003,9,Vivendi Games,0.09,0.03,0,0
9948,Lost Horizon,15,2010,11,Deep Silver,0,0.1,0,0.02
9949,Hanagumi Taisen Columns,24,1997,5,Sega,0,0,0.12,0
9950,Tales of Destiny 2,17,2007,4,Namco Bandai Games,0,0,0.12,0
9951,Teenage Mutant Ninja Turtles 3: Mutant Nightmare,19,2005,9,Konami Digital Entertainment,0.09,0.02,0,0
9952,Power Pro Kun Pocket 14,4,2011,1,Konami Digital Entertainment,0,0,0.12,0
9953,Get Up and Dance,1,2011,6,O-Games,0.06,0.04,0,0.01
9954,Merv Griffin's Crosswords,1,2008,5,THQ,0.11,0,0,0.01
9955,Rango: The Video Game,4,2011,9,Electronic Arts,0.07,0.03,0,0.01
9956,Planet 51,6,2009,9,Sega,0.07,0.03,0,0.02
